num_photons,num_jets,num_btag,MET_pT,MET_phi,photon1_pT,photon1_eta,photon1_phi,photon2_pT,photon2_eta,photon2_phi,btag1_pt,btag1_eta,btag1_phi,btag2_pt,btag2_eta,btag2_phi,m_hh,m_phopho,m_bb,pT_hh,pT_phopho,pT_bb,dR_hh,dR_phopho,dR_bb
2.0,0.0,2.0,18.04,2.801,275.22,-0.723,-0.512,116.01,-1.286,-0.97,185.4,-1.35,2.252,132.66,-0.868,2.741,733.46735,130.275,107.65913,75.13231,378.42456,309.12436,3.1121137,0.72576374,0.68661845
2.0,0.0,2.0,27.16,-0.357,192.13,0.762,1.977,74.3,1.041,2.99,77.1,1.461,-0.998,35.28,1.785,-0.72,382.38507,120.65094,22.291702,128.45798,264.35004,111.113495,3.2117147,1.0507189,0.42691928
2.0,0.0,2.0,22.82,0.283,239.62,0.526,3.037,39.88,0.917,-1.945,201.97,1.281,0.174,42.22,1.496,-1.656,559.7461,124.50348,147.7202,60.67976,276.90762,243.38469,3.144692,1.3586632,1.8425866
2.0,2.0,2.0,4.25,1.711,381.87,0.873,-1.098,60.27,1.04,-1.868,126.36,2.292,2.034,80.75,1.155,2.362,716.8479,116.73949,125.548904,231.699,441.41522,176.2524,3.072995,0.7879016,1.1833652
2.0,0.0,2.0,31.74,-0.716,164.56,-0.059,2.842,106.56,0.101,1.806,101.44,1.369,0.093,96.54,1.547,-1.666,586.98804,132.83972,153.49782,111.51031,270.29263,197.19688,3.4061935,1.0482824,1.7679833
2.0,2.0,2.0,55.42,2.89,86.58,1.354,0.292,81.96,2.339,-0.786,50.52,0.763,-2.583,41.75,0.496,2.165,318.9583,122.22019,64.95758,78.77531,148.52568,91.45644,3.2546132,1.460243,1.5582305
2.0,0.0,2.0,21.81,-3.094,107.68,-0.308,0.836,45.46,0.427,-0.944,81.19,1.039,-3.14,36.42,1.35,-1.887,333.29922,120.78579,65.98679,10.471804,144.6524,116.397644,3.3220842,1.925779,1.2910191
2.0,1.0,2.0,31.55,-1.589,244.49,-0.989,-1.777,96.19,-1.094,-2.591,286.26,-0.539,1.31,74.88,-1.313,1.278,725.8981,122.47649,116.263695,69.1261,340.2996,343.8157,2.9975872,0.82074434,0.7746612
2.0,2.0,2.0,90.5,1.665,319.17,-0.436,-1.738,227.35,-0.786,-2.041,185.44,0.801,1.435,32.85,0.592,2.195,859.75073,124.86497,60.16225,341.78802,538.41016,217.68188,3.1781774,0.46293506,0.78821385
2.0,2.0,2.0,19.96,-1.009,258.78,0.039,2.085,161.56,0.13,1.477,225.42,0.051,-2.084,47.16,0.955,-2.129,650.10657,123.81956,96.52556,289.55203,419.92825,257.2702,2.3424346,0.6147723,0.9051193
2.0,1.0,2.0,63.8,-1.626,132.71,0.349,1.02,81.91,1.359,0.491,99.76,0.159,-1.485,54.96,-0.25,-0.368,372.23358,122.620224,84.19339,204.12833,189.4311,151.76898,2.058879,1.1401496,1.189525
2.0,1.0,2.0,51.44,2.25,115.06,0.705,-0.473,70.51,-0.331,0.448,92.57,-0.032,2.161,68.71,0.634,-2.973,374.46387,126.18844,102.187195,63.843685,162.72733,152.61964,2.771553,1.3861952,1.3282255
2.0,2.0,2.0,25.34,0.283,266.02,-1.605,-1.859,216.64,-1.655,-1.323,112.1,-0.59,0.282,48.83,-1.136,1.536,574.2089,127.70483,95.96877,394.7582,482.5107,155.90627,2.4127347,0.53832704,1.3677105
2.0,0.0,2.0,30.24,1.216,176.75,-0.153,-1.776,45.06,-0.137,2.925,99.08,1.284,2.046,44.17,0.765,0.533,431.64594,126.933655,97.224754,102.04105,221.8054,139.16884,2.9126208,1.582266,1.5995404
